Date,Actual New Recoveries,Predicted New Recoveries
2020-07-13,256,624.6968781743169
2020-04-20,743,1278.0284631131005
2020-09-01,441,763.8190785292755
2020-08-13,434,636.4332980646125
2020-12-06,5033,5324.645918976143
2020-11-03,3373,2607.5970665947525
2020-09-11,931,938.7229137865957
2020-05-15,804,921.641809904431
2020-07-07,313,419.4069788639962
2020-09-30,776,1713.4698485817228
2020-09-05,228,864.493861672013
2020-01-27,0,-147.07964990073074
2020-09-17,594,1248.5967214652328
2020-04-18,665,1084.715601873654
2020-10-25,1795,2499.5631057763057
2020-06-12,865,513.0100142105039
2020-08-17,548,643.1149483700024
2020-06-24,387,461.56723029263435
2020-08-12,502,646.3465462252623
2020-05-23,711,958.8343554598903
2020-05-17,731,897.1818492883328
2020-04-12,522,796.0233452569541
2020-04-17,813,1315.0493657725904
2020-12-09,5703,4904.371326789722
2020-03-07,0,-36.57619778158649
2020-08-01,358,623.6695053259841
2020-03-15,0,36.36021519089229
2020-01-31,0,-135.7645353005421
2020-05-06,1178,1102.8684057755684
2020-03-02,0,-51.878457105522
2020-07-03,346,488.18460421675854
2020-10-11,1862,1873.1650479129091
2020-11-18,4169,3615.940570943343
2020-11-22,5014,4152.16099779717
2020-10-31,1939,2850.476168637447
2020-03-25,11,397.9264691815364
2020-08-11,356,606.6155340844957
2020-03-30,529,756.7670097912703
2020-10-15,2137,2052.608724067226
2020-11-23,5153,4330.8959387819
2020-04-19,636,1178.0624151399495
2020-07-24,354,691.0608681388411
2020-02-27,0,-63.19357170571065
2020-10-16,2156,2251.201369172524
2020-09-12,401,930.7954360380027
2020-10-27,2158,2381.7719357935457
2020-03-18,1,74.79858818955472
2020-05-10,847,905.0157036391245
2020-03-21,1,158.24775719483432
2020-08-28,409,776.3332088737666
2020-07-28,253,605.0732325482544
2020-07-12,240,507.52081996334175
2020-05-18,688,855.4962745347771
2020-04-13,563,947.6194239435779
2020-06-30,414,451.07007815946713
2020-08-25,553,620.7343815637624
2020-06-28,218,513.921600075327
2020-02-03,0,-128.4365654241003
2020-04-25,884,1029.8851811041886
2020-09-23,883,1219.5657121528704
2020-10-22,2057,2444.576646010505
2020-11-19,3973,3815.8570629900114
2020-09-20,513,1159.2838646215848
2020-02-08,0,-115.12007651222144
2020-08-18,330,627.9063124438684
2020-07-25,312,654.008757680084
2020-07-04,313,449.1467233459449
2020-10-09,1015,2210.052886692585
2020-05-05,976,953.2580975010012
2020-03-11,0,-15.33223112111466
2020-09-07,196,896.2973960641864
2020-04-10,702,918.447979534513
2020-06-25,334,494.0170842558598
2020-03-04,0,-47.87570848214153
2020-05-02,1050,1153.1121739491355
2020-04-29,1232,1214.6242450239904
2020-02-12,0,-104.46688538271835
2020-06-16,401,444.2323888577415
2020-05-13,1128,915.653290868994
2020-05-31,776,725.9621249756467
2020-05-24,680,803.959867219106
2020-11-09,2637,3518.4973856558654
2020-07-08,364,494.21993495109643
2020-06-18,678,486.62669878088354
2020-06-19,507,526.35771092165
2020-07-30,397,619.0048332319182
2020-04-24,780,1165.563888695092
2020-09-19,465,1193.026357726914
2020-04-28,827,1054.4231612184547
2020-12-03,4890,4785.793402139207
2020-02-26,0,-66.51879295877195
2020-06-09,757,512.3012790409176
2020-03-19,2,88.05266150289927
2020-11-30,5827,4942.62245299278
2020-08-04,407,594.5916843147209
2020-08-10,2389,640.358027189825
2020-12-10,5631,5142.679380136152
2020-08-20,655,667.6529284842684
2020-03-23,94,425.03412368037664
2020-05-20,726,871.4136456304975
2020-11-10,2880,3578.748025387884
2020-02-20,0,-82.49857965302661
2020-08-06,318,609.18520846907
2020-05-25,653,845.0147263012435
2020-10-17,1802,2219.444646479251
2020-07-31,365,665.3550800795399
2020-08-27,509,720.0541099658616
2020-04-07,434,967.3835046663428
2020-11-11,1920,3592.6640221719135
2020-11-08,2240,3546.282567525024
2020-09-25,1014,1448.6224408093365
2020-08-21,294,741.8039611006832
2020-08-30,145,781.6598044385182
2020-06-14,918,468.6923494738396
2020-11-16,3928,3823.0914094686514
2020-05-09,1023,951.3347426874789
2020-03-28,147,609.788791499812
2020-12-01,5063,4429.647367111115
2020-03-01,7,-53.879831417212216
2020-03-29,84,468.81469614342416
2020-06-17,375,490.5826357053634
2020-09-06,195,880.3956288680997
2020-08-26,332,686.2804090612651
2020-07-18,269,696.2626325065239
2020-07-15,315,533.3826470189788
2020-11-28,4188,4887.651597126613
2020-03-12,0,-0.09238739571350152
2020-11-07,2308,3461.5407593776417
2020-06-22,448,472.7887214950215
